 Timepoint      2
   2.308     0.662
   4.615     1.165
   6.923     1.817
   9.231     2.787
  11.538     3.238
  13.846     4.682
  16.154     5.153
  18.462     6.687
  20.769     7.662
  23.077     8.579
  25.385     9.892
  27.692    10.094
  30.000    11.144
  32.308    11.157
  34.615    11.624
  36.923    11.718
  39.231    11.649
  41.538    11.769
  43.846    11.431
  46.154    11.416
  48.462    11.046
  50.769    10.825
  53.077    10.509
  55.385    10.135
  57.692     9.846
  60.000     9.422
  62.308     9.110
  64.615     8.709
  66.923     8.360
  69.231     8.002
  71.538     7.636
  73.846     7.309
  76.154     6.956
  78.462     6.645
  80.769     6.322
  83.077     6.023
  85.385     5.733
  87.692     5.450
  90.000     5.187
  92.308     4.927
  94.615     4.685
  96.923     4.450
  99.231     4.227
 101.538     4.015
 103.846     3.812
 106.154     3.621
 108.462     3.437
 110.769     3.263
 113.077     3.097
 115.385     2.940
 117.692     2.790
 120.000     2.648
 122.308     2.513
 124.615     2.385
 126.923     2.263
 129.231     2.148
 131.538     2.038
 133.846     1.934
 136.154     1.835
 138.462     1.741
 140.769     1.652
 143.077     1.568
 145.385     1.487
 147.692     1.411
 150.000     1.339
