Distance	       1	       2	       3
 1.357221e+00	  1.200000e-01	  8.000000e-03	  5.000000e-02
 1.177566e+00	  1.200000e-01	  8.000000e-03	  6.371375e-02
 9.936300e-01	  1.200000e-01	  8.000000e-03	  8.118884e-02
 8.135074e-01	  1.200000e-01	  8.000000e-03	  1.034569e-01
 6.474801e-01	  1.200000e-01	  8.000000e-03	  1.318325e-01
 5.088686e-01	  1.200000e-01	  8.000000e-03	  1.679909e-01
 4.146217e-01	  1.200000e-01	  8.000000e-03	  2.140666e-01
 3.791420e-01	  1.200000e-01	  8.000000e-03	  2.727797e-01
 3.977576e-01	  1.200000e-01	  8.000000e-03	  3.475964e-01
 4.472304e-01	  1.200000e-01	  8.000000e-03	  4.429334e-01
 5.065070e-01	  1.200000e-01	  8.000000e-03	  5.644189e-01
 5.643385e-01	  1.200000e-01	  8.000000e-03	  7.192249e-01
 6.160903e-01	  1.200000e-01	  8.000000e-03	  9.164904e-01
 6.603919e-01	  1.200000e-01	  8.000000e-03	  1.167861e+00
 6.973429e-01	  1.200000e-01	  8.000000e-03	  1.488176e+00
 7.276538e-01	  1.200000e-01	  8.000000e-03	  1.896345e+00
 7.522369e-01	  1.200000e-01	  8.000000e-03	  2.416465e+00
 7.720145e-01	  1.200000e-01	  8.000000e-03	  3.079241e+00
 7.878323e-01	  1.200000e-01	  8.000000e-03	  3.923800e+00
 8.004277e-01	  1.200000e-01	  8.000000e-03	  5.000000e+00
 1.264992e+00	  1.200000e-01	  1.019420e-02	  5.000000e-02
 1.083776e+00	  1.200000e-01	  1.019420e-02	  6.371375e-02
 9.002628e-01	  1.200000e-01	  1.019420e-02	  8.118884e-02
 7.232268e-01	  1.200000e-01	  1.019420e-02	  1.034569e-01
 5.640671e-01	  1.200000e-01	  1.019420e-02	  1.318325e-01
 4.383170e-01	  1.200000e-01	  1.019420e-02	  1.679909e-01
 3.656528e-01	  1.200000e-01	  1.019420e-02	  2.140666e-01
 3.571279e-01	  1.200000e-01	  1.019420e-02	  2.727797e-01
 3.968472e-01	  1.200000e-01	  1.019420e-02	  3.475964e-01
 4.573003e-01	  1.200000e-01	  1.019420e-02	  4.429334e-01
 5.206353e-01	  1.200000e-01	  1.019420e-02	  5.644189e-01
 5.789838e-01	  1.200000e-01	  1.019420e-02	  7.192249e-01
 6.296566e-01	  1.200000e-01	  1.019420e-02	  9.164904e-01
 6.722697e-01	  1.200000e-01	  1.019420e-02	  1.167861e+00
 7.074060e-01	  1.200000e-01	  1.019420e-02	  1.488176e+00
 7.360016e-01	  1.200000e-01	  1.019420e-02	  1.896345e+00
 7.590634e-01	  1.200000e-01	  1.019420e-02	  2.416465e+00
 7.775404e-01	  1.200000e-01	  1.019420e-02	  3.079241e+00
 7.922725e-01	  1.200000e-01	  1.019420e-02	  3.923800e+00
 8.039759e-01	  1.200000e-01	  1.019420e-02	  5.000000e+00
 1.156947e+00	  1.200000e-01	  1.299021e-02	  5.000000e-02
 9.748756e-01	  1.200000e-01	  1.299021e-02	  6.371375e-02
 7.930229e-01	  1.200000e-01	  1.299021e-02	  8.118884e-02
 6.210973e-01	  1.200000e-01	  1.299021e-02	  1.034569e-01
 4.723503e-01	  1.200000e-01	  1.299021e-02	  1.318325e-01
 3.661345e-01	  1.200000e-01	  1.299021e-02	  1.679909e-01
 3.246248e-01	  1.200000e-01	  1.299021e-02	  2.140666e-01
 3.480273e-01	  1.200000e-01	  1.299021e-02	  2.727797e-01
 4.070504e-01	  1.200000e-01	  1.299021e-02	  3.475964e-01
 4.753159e-01	  1.200000e-01	  1.299021e-02	  4.429334e-01
 5.403247e-01	  1.200000e-01	  1.299021e-02	  5.644189e-01
 5.975912e-01	  1.200000e-01	  1.299021e-02	  7.192249e-01
 6.461046e-01	  1.200000e-01	  1.299021e-02	  9.164904e-01
 6.862790e-01	  1.200000e-01	  1.299021e-02	  1.167861e+00
 7.190657e-01	  1.200000e-01	  1.299021e-02	  1.488176e+00
 7.455573e-01	  1.200000e-01	  1.299021e-02	  1.896345e+00
 7.668104e-01	  1.200000e-01	  1.299021e-02	  2.416465e+00
 7.837722e-01	  1.200000e-01	  1.299021e-02	  3.079241e+00
 7.972566e-01	  1.200000e-01	  1.299021e-02	  3.923800e+00
 8.079448e-01	  1.200000e-01	  1.299021e-02	  5.000000e+00
 1.032945e+00	  1.200000e-01	  1.655310e-02	  5.000000e-02
 8.512998e-01	  1.200000e-01	  1.655310e-02	  6.371375e-02
 6.730858e-01	  1.200000e-01	  1.655310e-02	  8.118884e-02
 5.094739e-01	  1.200000e-01	  1.655310e-02	  1.034569e-01
 3.772077e-01	  1.200000e-01	  1.655310e-02	  1.318325e-01
 3.020630e-01	  1.200000e-01	  1.655310e-02	  1.679909e-01
 3.028294e-01	  1.200000e-01	  1.655310e-02	  2.140666e-01
 3.573764e-01	  1.200000e-01	  1.655310e-02	  2.727797e-01
 4.299053e-01	  1.200000e-01	  1.655310e-02	  3.475964e-01
 5.015289e-01	  1.200000e-01	  1.655310e-02	  4.429334e-01
 5.654476e-01	  1.200000e-01	  1.655310e-02	  5.644189e-01
 6.199162e-01	  1.200000e-01	  1.655310e-02	  7.192249e-01
 6.651647e-01	  1.200000e-01	  1.655310e-02	  9.164904e-01
 7.021622e-01	  1.200000e-01	  1.655310e-02	  1.167861e+00
 7.320922e-01	  1.200000e-01	  1.655310e-02	  1.488176e+00
 7.561233e-01	  1.200000e-01	  1.655310e-02	  1.896345e+00
 7.753127e-01	  1.200000e-01	  1.655310e-02	  2.416465e+00
 7.905738e-01	  1.200000e-01	  1.655310e-02	  3.079241e+00
 8.026737e-01	  1.200000e-01	  1.655310e-02	  3.923800e+00
 8.122448e-01	  1.200000e-01	  1.655310e-02	  5.000000e+00
 8.941305e-01	  1.200000e-01	  2.109321e-02	  5.000000e-02
 7.149821e-01	  1.200000e-01	  2.109321e-02	  6.371375e-02
 5.435004e-01	  1.200000e-01	  2.109321e-02	  8.118884e-02
 3.936356e-01	  1.200000e-01	  2.109321e-02	  1.034569e-01
 2.894819e-01	  1.200000e-01	  2.109321e-02	  1.318325e-01
 2.634437e-01	  1.200000e-01	  2.109321e-02	  1.679909e-01
 3.102966e-01	  1.200000e-01	  2.109321e-02	  2.140666e-01
 3.863719e-01	  1.200000e-01	  2.109321e-02	  2.727797e-01
 4.644019e-01	  1.200000e-01	  2.109321e-02	  3.475964e-01
 5.347885e-01	  1.200000e-01	  2.109321e-02	  4.429334e-01
 5.950139e-01	  1.200000e-01	  2.109321e-02	  5.644189e-01
 6.451409e-01	  1.200000e-01	  2.109321e-02	  7.192249e-01
 6.861688e-01	  1.200000e-01	  2.109321e-02	  9.164904e-01
 7.193776e-01	  1.200000e-01	  2.109321e-02	  1.167861e+00
 7.460491e-01	  1.200000e-01	  2.109321e-02	  1.488176e+00
 7.673499e-01	  1.200000e-01	  2.109321e-02	  1.896345e+00
 7.842911e-01	  1.200000e-01	  2.109321e-02	  2.416465e+00
 7.977231e-01	  1.200000e-01	  2.109321e-02	  3.079241e+00
 8.083478e-01	  1.200000e-01	  2.109321e-02	  3.923800e+00
 8.167369e-01	  1.200000e-01	  2.109321e-02	  5.000000e+00
 7.433611e-01	  1.200000e-01	  2.687855e-02	  5.000000e-02
 5.698797e-01	  1.200000e-01	  2.687855e-02	  6.371375e-02
 4.102058e-01	  1.200000e-01	  2.687855e-02	  8.118884e-02
 2.848774e-01	  1.200000e-01	  2.687855e-02	  1.034569e-01
