Timepoint   	           1	           2	 00001/00001	 00002/00001	 00001/00002	 00002/00002	 00001/00003	 00002/00003
9.450000e+01	1.871509e+00	4.696942e+00	5.002999e-01	5.048686e+00	-3.418086e+01	-8.323478e+01	-1.134577e+00	-1.236452e+01
9.600000e+01	1.807838e+00	4.543138e+00	5.190332e-01	4.968789e+00	-3.377986e+01	-8.231733e+01	-1.182840e+00	-1.217719e+01
9.750000e+01	1.748330e+00	4.392397e+00	5.358571e-01	4.888639e+00	-3.336725e+01	-8.136745e+01	-1.228308e+00	-1.198701e+01
9.900000e+01	1.692448e+00	4.248905e+00	5.497238e-01	4.809617e+00	-3.294616e+01	-8.039011e+01	-1.268858e+00	-1.179658e+01
1.005000e+02	1.636092e+00	4.110206e+00	5.626925e-01	4.729902e+00	-3.251603e+01	-7.938892e+01	-1.304730e+00	-1.160625e+01
1.020000e+02	1.580813e+00	3.973674e+00	5.750852e-01	4.649229e+00	-3.207688e+01	-7.836471e+01	-1.337821e+00	-1.141458e+01
1.035000e+02	1.529159e+00	3.841756e+00	5.854087e-01	4.569251e+00	-3.163122e+01	-7.731990e+01	-1.367778e+00	-1.122225e+01
1.050000e+02	1.479106e+00	3.715494e+00	5.940105e-01	4.489875e+00	-3.118027e+01	-7.625828e+01	-1.393629e+00	-1.103068e+01
1.065000e+02	1.429250e+00	3.592525e+00	6.020480e-01	4.410068e+00	-3.072368e+01	-7.518174e+01	-1.416269e+00	-1.083942e+01
1.080000e+02	1.381446e+00	3.472556e+00	6.090746e-01	4.330359e+00	-3.026238e+01	-7.409150e+01	-1.436564e+00	-1.064793e+01
1.095000e+02	1.336104e+00	3.357239e+00	6.144534e-01	4.251553e+00	-2.979809e+01	-7.299010e+01	-1.453835e+00	-1.045720e+01
1.110000e+02	1.291620e+00	3.246086e+00	6.188693e-01	4.173131e+00	-2.933113e+01	-7.188001e+01	-1.468033e+00	-1.026766e+01
1.125000e+02	1.248076e+00	3.137788e+00	6.227054e-01	4.094792e+00	-2.886166e+01	-7.076247e+01	-1.479957e+00	-1.007883e+01
1.140000e+02	1.206561e+00	3.032890e+00	6.254417e-01	4.017152e+00	-2.839077e+01	-6.963891e+01	-1.489676e+00	-9.890906e+00
1.155000e+02	1.166604e+00	2.931996e+00	6.271163e-01	3.940316e+00	-2.791934e+01	-6.851149e+01	-1.497008e+00	-9.704349e+00
1.170000e+02	1.127444e+00	2.834314e+00	6.281321e-01	3.863979e+00	-2.744756e+01	-6.738167e+01	-1.502009e+00	-9.519385e+00
1.185000e+02	1.089577e+00	2.739420e+00	6.285421e-01	3.788161e+00	-2.697585e+01	-6.625054e+01	-1.505317e+00	-9.335619e+00
1.200000e+02	1.053340e+00	2.647831e+00	6.280462e-01	3.713253e+00	-2.650507e+01	-6.511949e+01	-1.506738e+00	-9.153456e+00
1.215000e+02	1.018183e+00	2.559510e+00	6.268408e-01	3.639160e+00	-2.603566e+01	-6.399001e+01	-1.506228e+00	-8.973170e+00
1.230000e+02	9.839401e-01	2.473890e+00	6.251655e-01	3.565710e+00	-2.556780e+01	-6.286313e+01	-1.504138e+00	-8.794624e+00
1.245000e+02	9.509930e-01	2.390977e+00	6.228906e-01	3.493095e+00	-2.510202e+01	-6.173978e+01	-1.500616e+00	-8.617847e+00
1.260000e+02	9.192759e-01	2.311004e+00	6.199564e-01	3.421451e+00	-2.463884e+01	-6.062111e+01	-1.495563e+00	-8.443110e+00
1.275000e+02	8.884530e-01	2.233717e+00	6.165932e-01	3.350617e+00	-2.417847e+01	-5.950816e+01	-1.489194e+00	-8.270381e+00
1.290000e+02	8.586013e-01	2.158842e+00	6.128097e-01	3.280632e+00	-2.372120e+01	-5.840163e+01	-1.481604e+00	-8.099712e+00
1.305000e+02	8.298776e-01	2.086476e+00	6.085389e-01	3.211617e+00	-2.326744e+01	-5.730234e+01	-1.472878e+00	-7.931158e+00
1.320000e+02	8.021114e-01	2.016627e+00	6.038356e-01	3.143573e+00	-2.281747e+01	-5.621113e+01	-1.463026e+00	-7.764842e+00
1.335000e+02	7.751721e-01	1.949058e+00	5.988230e-01	3.076424e+00	-2.237147e+01	-5.512870e+01	-1.452214e+00	-7.600731e+00
1.350000e+02	7.491611e-01	1.883675e+00	5.934739e-01	3.010232e+00	-2.192969e+01	-5.405558e+01	-1.440513e+00	-7.438861e+00
1.365000e+02	7.240831e-01	1.820528e+00	5.877695e-01	2.945058e+00	-2.149240e+01	-5.299241e+01	-1.427944e+00	-7.279314e+00
1.380000e+02	6.998027e-01	1.759522e+00	5.817786e-01	2.880872e+00	-2.105979e+01	-5.193976e+01	-1.414561e+00	-7.122136e+00
1.395000e+02	6.762986e-01	1.700504e+00	5.755797e-01	2.817627e+00	-2.063196e+01	-5.089810e+01	-1.400549e+00	-6.967235e+00
1.410000e+02	6.536209e-01	1.643449e+00	5.691177e-01	2.755405e+00	-2.020915e+01	-4.986784e+01	-1.385865e+00	-6.814728e+00
1.425000e+02	6.317161e-01	1.588342e+00	5.624284e-01	2.694200e+00	-1.979150e+01	-4.884942e+01	-1.370583e+00	-6.664617e+00
1.440000e+02	6.105109e-01	1.535073e+00	5.555408e-01	2.634005e+00	-1.937912e+01	-4.784319e+01	-1.354714e+00	-6.516958e+00
1.455000e+02	5.900153e-01	1.483560e+00	5.485337e-01	2.574767e+00	-1.897209e+01	-4.684951e+01	-1.338489e+00	-6.371588e+00
1.470000e+02	5.702309e-01	1.433782e+00	5.413198e-01	2.516587e+00	-1.857060e+01	-4.586860e+01	-1.321728e+00	-6.228729e+00
1.485000e+02	5.511024e-01	1.385689e+00	5.340006e-01	2.459386e+00	-1.817466e+01	-4.490079e+01	-1.304653e+00	-6.088218e+00
1.500000e+02	5.325988e-01	1.339193e+00	5.265573e-01	2.403194e+00	-1.778439e+01	-4.394628e+01	-1.287201e+00	-5.950156e+00


Timepoint   	           1	           2	 00001/00001	 00002/00001	 00001/00002	 00002/00002	 00001/00003	 00002/00003
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	4.589612e-01	3.393912e-01	-1.719197e-01	1.802581e-01	-2.240294e-01	-1.250735e-01	1.025406e-01	-1.061461e-01
3.000000e+00	6.229053e-01	9.041374e-01	-3.214319e-01	3.612226e-01	-5.700821e-01	-5.968325e-01	3.921183e-01	-4.248765e-01
4.500000e+00	5.533918e-01	1.155487e+00	-2.999430e-01	3.778233e-01	-7.865758e-01	-1.168085e+00	5.849160e-01	-6.782390e-01
6.000000e+00	8.634905e-01	1.414316e+00	-3.769632e-01	4.930283e-01	-1.102146e+00	-1.740698e+00	6.853637e-01	-8.542546e-01
7.500000e+00	1.337276e+00	2.128436e+00	-6.224183e-01	7.983244e-01	-1.721456e+00	-2.638076e+00	9.750767e-01	-1.241226e+00
9.000000e+00	1.329102e+00	2.741173e+00	-6.956025e-01	9.534333e-01	-2.306443e+00	-3.866590e+00	1.330468e+00	-1.736365e+00
1.050000e+01	1.345285e+00	2.931764e+00	-6.443803e-01	9.815582e-01	-2.750849e+00	-5.056292e+00	1.461107e+00	-2.036522e+00
1.200000e+01	1.962539e+00	3.488405e+00	-8.569542e-01	1.281116e+00	-3.506725e+00	-6.360410e+00	1.625345e+00	-2.383227e+00
1.350000e+01	2.364337e+00	4.497310e+00	-1.129855e+00	1.675504e+00	-4.538478e+00	-8.181909e+00	2.071562e+00	-3.049598e+00
1.500000e+01	2.183441e+00	5.001716e+00	-1.083272e+00	1.764347e+00	-5.337748e+00	-1.021227e+01	2.402930e+00	-3.652943e+00
