Timepoint   	E2          	SD          	P4          	SD          	LH_blood    	SD          	FSH_blood   	SD          
-1.100000e+01	6.999987e+01	1.000000e+00	3.299985e-01	1.000000e+00	4.460000e+00	1.000000e+00	7.080000e+00	1.000000e+00
-1.100000e+01	2.500001e+01	1.000000e+00	4.199998e-01	1.000000e+00	3.740000e+00	1.000000e+00	5.990000e+00	1.000000e+00
-1.100000e+01	4.200009e+01	1.000000e+00	2.400000e-01	1.000000e+00	2.930000e+00	1.000000e+00	5.400000e+00	1.000000e+00
-1.100000e+01	3.999993e+01	1.000000e+00	2.600000e-01	1.000000e+00	8.280000e+00	1.000000e+00	8.190000e+00	1.000000e+00
-1.100000e+01	3.399999e+01	1.000000e+00	3.299985e-01	1.000000e+00	4.090000e+00	1.000000e+00	6.410000e+00	1.000000e+00
-1.100000e+01	5.499990e+01	1.000000e+00	2.099999e-01	1.000000e+00	9.350000e+00	1.000000e+00	6.090000e+00	1.000000e+00
-1.000000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.000000e+01	3.700010e+01	1.000000e+00	2.000001e-01	1.000000e+00	5.500000e+00	1.000000e+00	4.850000e+00	1.000000e+00
-1.000000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.000000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.000000e+01	3.800004e+01	1.000000e+00	2.000001e-01	1.000000e+00	5.650000e+00	1.000000e+00	6.450000e+00	1.000000e+00
-1.000000e+01	5.499990e+01	1.000000e+00	4.400001e-01	1.000000e+00	5.700000e+00	1.000000e+00	8.910000e+00	1.000000e+00
-1.000000e+01	1.029999e+02	1.000000e+00	3.599990e-01	1.000000e+00	4.910000e+00	1.000000e+00	8.390000e+00	1.000000e+00
-1.000000e+01	1.700000e+01	1.000000e+00	4.199998e-01	1.000000e+00	7.120000e+00	1.000000e+00	8.800000e+00	1.000000e+00
