# == Iter    0 ==
Timepoint   	A           	B           	C           
3.084977e+00	3.319797e-02	1.180523e-01	8.487497e-01
3.406711e+00	2.331929e-02	9.211016e-02	8.845705e-01
3.750677e+00	1.599204e-02	7.007772e-02	9.139302e-01
4.123999e+00	1.062516e-02	5.173654e-02	9.376383e-01
4.530569e+00	6.811297e-03	3.699979e-02	9.561889e-01
4.969426e+00	4.218317e-03	2.572516e-02	9.700565e-01
5.000000e+00	4.079966e-03	2.508343e-02	9.708366e-01


# == Iter    5 ==
Timepoint   	A           	B           	C           
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.998408e-01	1.592222e-04	8.022394e-09
1.010000e-02	9.840453e-01	1.587352e-02	8.112933e-05
9.848111e-02	8.548745e-01	1.379783e-01	7.147236e-03
2.217238e-01	7.026075e-01	2.647699e-01	3.262267e-02
3.561943e-01	5.672873e-01	3.574782e-01	7.523447e-02
5.019484e-01	4.499347e-01	4.175091e-01	1.325562e-01
6.604885e-01	3.497305e-01	4.482139e-01	2.020557e-01
8.331744e-01	2.658532e-01	4.533855e-01	2.807612e-01
1.017453e+00	1.984569e-01	4.378904e-01	3.636526e-01
1.210926e+00	1.460470e-01	4.078515e-01	4.461015e-01
1.413334e+00	1.060072e-01	3.688034e-01	5.251894e-01
1.624898e+00	7.587338e-02	3.251882e-01	5.989384e-01
1.844373e+00	5.366145e-02	2.807183e-01	6.656203e-01
2.072049e+00	3.749027e-02	2.378045e-01	7.247052e-01
2.309528e+00	2.581333e-02	1.978204e-01	7.763663e-01
2.558874e+00	1.746394e-02	1.615451e-01	8.209910e-01
2.822533e+00	1.156915e-02	1.293735e-01	8.590573e-01
3.103418e+00	7.474196e-03	1.014405e-01	8.910853e-01
3.405063e+00	4.686631e-03	7.769882e-02	9.176145e-01
3.731871e+00	2.835979e-03	5.797071e-02	9.391933e-01
4.089515e+00	1.644501e-03	4.198308e-02	9.563724e-01
4.485590e+00	9.057561e-04	2.939377e-02	9.697005e-01
4.930725e+00	4.685084e-04	1.981294e-02	9.797185e-01
5.000000e+00	4.233544e-04	1.865184e-02	9.809248e-01


# == Iter    6 ==
Timepoint   	A           	B           	C           
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.998053e-01	1.946992e-04	9.669560e-09
1.010000e-02	9.805249e-01	1.937740e-02	9.767623e-05
8.623813e-02	8.454322e-01	1.479558e-01	6.611992e-03
1.941446e-01	6.852740e-01	2.845114e-01	3.021462e-02
3.121066e-01	5.447417e-01	3.853814e-01	6.987692e-02
4.400026e-01	4.247926e-01	4.517776e-01	1.234298e-01
5.792170e-01	3.240980e-01	4.872262e-01	1.886759e-01
7.310681e-01	2.413279e-01	4.956238e-01	2.630483e-01
8.920147e-01	1.766021e-01	4.820616e-01	3.413363e-01
1.059703e+00	1.276047e-01	4.531510e-01	4.192443e-01
1.231643e+00	9.148759e-02	4.151999e-01	4.933126e-01
1.408310e+00	6.503305e-02	3.726918e-01	5.622752e-01
1.590779e+00	4.574585e-02	3.286595e-01	6.255947e-01
1.780387e+00	3.176813e-02	2.851377e-01	6.830942e-01
1.978703e+00	2.172082e-02	2.434766e-01	7.348025e-01
2.187562e+00	1.457700e-02	2.045562e-01	7.808668e-01
2.409125e+00	9.568656e-03	1.689296e-01	8.215017e-01
2.645979e+00	6.119240e-03	1.369186e-01	8.569621e-01
2.901299e+00	3.795099e-03	1.086758e-01	8.875291e-01
3.179102e+00	2.270526e-03	8.422502e-02	9.135045e-01
3.484651e+00	1.302341e-03	6.348938e-02	9.352083e-01
3.825138e+00	7.110427e-04	4.631093e-02	9.529780e-01
4.210888e+00	3.664970e-04	3.246675e-02	9.671668e-01
4.657690e+00	1.767436e-04	2.168225e-02	9.781410e-01
5.000000e+00	1.045501e-04	1.606261e-02	9.838328e-01


# == Iter    7 ==
Timepoint   	A           	B           	C           
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.997974e-01	2.025920e-04	1.005825e-08
1.010000e-02	9.797434e-01	2.015502e-02	1.015760e-04
8.390746e-02	8.436704e-01	1.498179e-01	6.511734e-03
1.888173e-01	6.821739e-01	2.880877e-01	2.973849e-02
3.035453e-01	5.407816e-01	3.904226e-01	6.879580e-02
4.279401e-01	4.204393e-01	4.579957e-01	1.215650e-01
5.633602e-01	3.197187e-01	4.943669e-01	1.859143e-01
7.110308e-01	2.372316e-01	5.034513e-01	2.593171e-01
8.673983e-01	1.730117e-01	4.903784e-01	3.366099e-01
1.028993e+00	1.248997e-01	4.620550e-01	4.130453e-01
